created_at,id,text,geo,coordinates,lang,timestamp_ms
Wed Sep 30 14:39:21 +0000 2015,649232065104343000,Irish 'pledge a bed' for refugees campaign is overwhelmed with offers  via,,,en,1443623961126
Wed Sep 30 14:39:24 +0000 2015,649232079675355100,": At the U.N., Japan pledged to increase aid to refugees uprooted by mayhem in the Middle East.  http…",,,en,1443623964600
Wed Sep 30 14:39:28 +0000 2015,649232095999430700,": From citizens to NGOs, everyone can play a role in helping refugees.
Here's how:  ",,,en,1443623968492
Wed Sep 30 14:39:30 +0000 2015,649232102689407000,: Answer:Japan has a lot of problems still more serious than Syrian refugees!,,,en,1443623970087
Wed Sep 30 14:39:31 +0000 2015,649232107747864600,,,,en,1443623971293
Wed Sep 30 14:39:31 +0000 2015,649232109446524900,: Bergoglio's Refugees in churches - shocking pictures of desecration! ,,,en,1443623971698
Wed Sep 30 14:39:32 +0000 2015,649232111774208000,: Since 2014 Oxfam has reached 500k Syrian refugees in Jordan-Lebanon w/ relief. Help reach more  http:…,,,en,1443623972253
Wed Sep 30 14:39:32 +0000 2015,649232113426796500, Facebook Japan left hate-crime post. we can't stand any more! they are mocking even refugees. ,,,en,1443623972647
Wed Sep 30 14:39:39 +0000 2015,649232142434611200,": The stress of povey engenders a ""scarcity mindset"" in refugees. Should we still give cash?  http://…",,,en,1443623979563
Wed Sep 30 14:39:42 +0000 2015,649232153222365200,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443623982135
Wed Sep 30 14:39:43 +0000 2015,649232159857901600,"There's no easy answer, negotiations means negotiate. Foreign paies must assist not prescribe. But make a deal. ",,,en,1443623983717
Wed Sep 30 14:39:46 +0000 2015,649232169898934300,: Only 40% of refugees who come by plane are found to be genuine whereas by boat it's is 90% ,,,en,1443623986111
Wed Sep 30 14:39:46 +0000 2015,649232170477822000,: Refugees to Europe: Do Better Than This  ,,,en,1443623986249
Wed Sep 30 14:39:47 +0000 2015,649232174646992900,": US Resettlement of 10,000 Syrian refugees is not even close to being commensurate with the massive scale of the Syrian refug…",,,en,1443623987243
Wed Sep 30 14:39:46 +0000 2015,649232173447274500,: ,,,en,1443623986957
Wed Sep 30 14:39:47 +0000 2015,649232177771577300,Turkish coast guard rescues nearly 100 refugees ,,,en,1443623987988
Wed Sep 30 14:39:52 +0000 2015,649232195949883400,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443623992322
Wed Sep 30 14:39:55 +0000 2015,649232209103167500," exactly, refugees are already a burden on western countries. It has to be stopped and let them return home",,,en,1443623995458
Wed Sep 30 14:39:59 +0000 2015,649232224383070200,": Whaa! Banksy's Dismaland moves to Calais to provide shelter for refugees
",,,en,1443623999101
Wed Sep 30 14:40:01 +0000 2015,649232232830275600,": ""Other recent incidents include Muslim Chechens beating up Syrian Christians in a Berlin shelter.” ",,,en,1443624001115
Wed Sep 30 14:40:01 +0000 2015,649232236026294300,": The Muslim ""refugees"" aren't playing well with the Christians in Germany. Gee, who could've seen that coming?! …",,,en,1443624001877
Wed Sep 30 14:40:04 +0000 2015,649232245295747100,,,,en,1443624004087
Wed Sep 30 14:40:04 +0000 2015,649232247472570400,,,,en,1443624004606
Wed Sep 30 14:40:05 +0000 2015,649232249146118100,,,,en,1443624005005
Wed Sep 30 14:40:06 +0000 2015,649232256658182100,": The stress of povey engenders a ""scarcity mindset"" in refugees. Should we still give cash?  http://…",,,en,1443624006796
Wed Sep 30 14:40:08 +0000 2015,649232262848991200,Thank you for the beautiful aicle ,,,en,1443624008272
Wed Sep 30 14:40:10 +0000 2015,649232272760176600,Divided EU leaders to offer cash for Syria refugees ,,,en,1443624010635
Wed Sep 30 14:40:11 +0000 2015,649232276576845800,PM Abe says: Japan says it must look after its own before allowing in Syrian refugees ,,,en,1443624011545
Wed Sep 30 14:40:12 +0000 2015,649232280615911400,"From citizens to NGOs, everyone can play a role in helping refugees.
Here's how:  ",,,en,1443624012508
Wed Sep 30 14:40:14 +0000 2015,649232287096148000,": ""I've heard so many repos from Christian refugees who were attacked by conservative Muslims” - in Germany …",,,en,1443624014053
Wed Sep 30 14:40:14 +0000 2015,649232289579335700,Canada accused of obsessing over sexuality of LGBT refugees ,,,en,1443624014645
Wed Sep 30 14:40:15 +0000 2015,649232292095873000,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443624015245
Wed Sep 30 14:40:16 +0000 2015,649232296101326800,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443624016200
Wed Sep 30 14:40:17 +0000 2015,649232302594199600,: 53 ,,,en,1443624017748
Wed Sep 30 14:40:22 +0000 2015,649232320482930700,: German Police Chief: Muslim Refugees Attacking Christian Refugees So Often They Should Be Housed Separately… …,,,en,1443624022013
Wed Sep 30 14:40:22 +0000 2015,649232324362567700,": ""I've heard so many repos from Christian refugees who were attacked by conservative Muslims” - in Germany …",,,en,1443624022938
Wed Sep 30 14:40:27 +0000 2015,649232344746848300,": Breaking News: Twitter agrees to take in 40,000 Facebook refugees 
",,,en,1443624027798
Wed Sep 30 14:40:28 +0000 2015,649232346596704300,": At the U.N., Japan pledged to increase aid to refugees uprooted by mayhem in the Middle East.  http…",,,en,1443624028239
Wed Sep 30 14:40:28 +0000 2015,649232349104881700,While refugees around the corner starve of hunger I.... ,,,en,1443624028837
Wed Sep 30 14:40:30 +0000 2015,649232357166334000, as long as they have no refugees! 😉,,,en,1443624030759
Wed Sep 30 14:40:31 +0000 2015,649232358902771700,Refugees to Europe: Do Better Than This  ,,,en,1443624031173
Wed Sep 30 14:40:31 +0000 2015,649232359804416000,: Only 40% of refugees who come by plane are found to be genuine whereas by boat it's is 90% ,,,en,1443624031388
Wed Sep 30 14:40:35 +0000 2015,649232377349337100,: “Germany's police union…called for refugees to be separated by religion -- especially between Christians and Muslims” http…,,,en,1443624035571
Wed Sep 30 14:40:37 +0000 2015,649232385599500300,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443624037538
Wed Sep 30 14:40:38 +0000 2015,649232389932253200,": ""I've heard so many repos from Christian refugees who were attacked by conservative Muslims” - in Germany …",,,en,1443624038571
Wed Sep 30 14:40:39 +0000 2015,649232393086353400,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443624039323
Wed Sep 30 14:40:39 +0000 2015,649232394885529600,: It seems only ceain refugees are welcome in Europe &amp; it's not African refugees. ,,,en,1443624039752
Wed Sep 30 14:40:41 +0000 2015,649232401953128400,: So Sturgeon is not - after all she claimed - going to give a home to Syrian refugees?  We said exactly this would... ht…,,,en,1443624041437
Wed Sep 30 14:40:42 +0000 2015,649232408462626800,"That was a week ago. Today Russia and Syria are bombing Homs, ",,,en,1443624042989
Wed Sep 30 14:40:47 +0000 2015,649232429375430700," And two final shots of especially desperate, unfounate refugees on Hungarian border: ",,,en,1443624047975
Wed Sep 30 14:40:51 +0000 2015,649232443535286300,: ,,,en,1443624051351
Wed Sep 30 14:40:51 +0000 2015,649232444735008800,Interview set / President of Austria about ,,,en,1443624051637
Wed Sep 30 14:40:52 +0000 2015,649232446550966300,May God almighty bless each one of them. My prayers goes to every refugees to keep them safe always. 🙏🏼 ,,,en,1443624052070
Wed Sep 30 14:40:53 +0000 2015,649232452364316700,Refugees to Europe: Do Better Than This - The Nation. - ,,,en,1443624053456
Wed Sep 30 14:40:54 +0000 2015,649232455241744400,Photo highlights of the day - ,,,en,1443624054142
Wed Sep 30 14:40:54 +0000 2015,649232456403525600,Brilliant! Thanks for helping us make a real difference for ,,,en,1443624054419
Wed Sep 30 14:40:54 +0000 2015,649232456588087300,: From one of the world's richest countries. Japan says must look after its own before refugees  htt…,,,en,1443624054463
Wed Sep 30 14:40:54 +0000 2015,649232457238245400,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443624054618
Wed Sep 30 14:40:55 +0000 2015,649232462657253400,: ,,,en,1443624055910
Wed Sep 30 14:40:57 +0000 2015,649232467375849500,: Hundreds of refugees arrive in Greece from ,,,en,1443624057035
Wed Sep 30 14:40:57 +0000 2015,649232467472154600,: Michel Foucault on refugees – a previously untranslated interview from 1979 ,,,en,1443624057058
Wed Sep 30 14:40:57 +0000 2015,649232468235690000,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443624057240
Wed Sep 30 14:40:58 +0000 2015,649232472597753900,: Join us the Amnesty Group from Eirias Park School on Colwyn Bay beach  3.15 on Fri 2 Oct in a demo in suppoof refugees,,,en,1443624058280
Wed Sep 30 14:41:04 +0000 2015,649232500682719200, Finally some one shows guts!! Is Only Europe accepting refugees an US plan hatched with Arabs to wreck EU?,,,en,1443624064976
Wed Sep 30 14:41:05 +0000 2015,649232502968700900,: My talk in Swedish last night on why UNHCR must get more money now to help Syrian refugees: ,,,en,1443624065521
Wed Sep 30 14:41:06 +0000 2015,649232506001182700,": The stress of povey engenders a ""scarcity mindset"" in refugees. Should we still give cash?  http://…",,,en,1443624066244
Wed Sep 30 14:41:06 +0000 2015,649232508563890200,"The treatment of refugees around the world is a measure of the propoion of humanity in the world
",,,en,1443624066855
Wed Sep 30 14:41:08 +0000 2015,649232516268879900,"Refugees, homeless people housed in former concentration camp  via - oh my giddy aunt... :-/",,,en,1443624068692
Wed Sep 30 14:41:10 +0000 2015,649232522153431000,: The UN uses viual reality &amp; an immersive “wormhole” to connect diplomats with refugees ,,,en,1443624070095
Wed Sep 30 14:41:13 +0000 2015,649232534417616900,With the surge of refugees entering Europe concerns are there is no end in sight. ,,,en,1443624073019
Wed Sep 30 14:41:13 +0000 2015,649232534933401600,": At the U.N., Japan pledged to increase aid to refugees uprooted by mayhem in the Middle East.  http…",,,en,1443624073142
Wed Sep 30 14:41:13 +0000 2015,649232535449399300,Media+|+News+Archive+|+The+role+of+trade+unions+in+defending+refugees ,,,en,1443624073265
Wed Sep 30 14:41:16 +0000 2015,649232549307392000,": The stress of povey engenders a ""scarcity mindset"" in refugees. Should we still give cash?  http://…",,,en,1443624076569
Wed Sep 30 14:41:19 +0000 2015,649232559554080800,": ""I've heard so many repos from Christian refugees who were attacked by conservative Muslims” - in Germany …",,,en,1443624079012
Wed Sep 30 14:41:20 +0000 2015,649232565405003800,"Tell me when Nusra, Jaysh al Islam, Ahrar al Sham and ISIS don't slaughter civilians en masse &amp; usher in autocracy? ",,,en,1443624080407
Wed Sep 30 14:41:20 +0000 2015,649232565828649000,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443624080508
Wed Sep 30 14:41:20 +0000 2015,649232566818615300,Thank you for sharing the stories of refugees. Heabreaking but essential to tell and listen to.,,,en,1443624080744
Wed Sep 30 14:41:20 +0000 2015,649232566910873600,More than an obligation to alleviate the ,,,en,1443624080766
Wed Sep 30 14:41:21 +0000 2015,649232570371207200,also does anyone know what's going on with the syrian refugees? I haven't heard anything in a while and I can't seem to find much.,,,en,1443624081591
Wed Sep 30 14:41:21 +0000 2015,649232570790617100, Maybe the best way to repay the horrors of the past is by offering to take in a million of today's refugees,,,en,1443624081691
Wed Sep 30 14:41:25 +0000 2015,649232587303555100,,,,en,1443624085628
Wed Sep 30 14:41:25 +0000 2015,649232587953606700,,,,en,1443624085783
Wed Sep 30 14:41:25 +0000 2015,649232588553474000,Language is one of the key issues to address to increase refugees access to UK HE. ,,,en,1443624085926
Wed Sep 30 14:41:27 +0000 2015,649232596568776700,": The stress of povey engenders a ""scarcity mindset"" in refugees. Should we still give cash?  http://…",,,en,1443624087837
Wed Sep 30 14:41:30 +0000 2015,649232608317042700,: Japan says it must look after its own before allowing Syrian refugees in ,,,en,1443624090638
Wed Sep 30 14:41:30 +0000 2015,649232609579532300,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443624090939
Wed Sep 30 14:41:35 +0000 2015,649232629909319700,": Her Majesty, Queen Rania, longtime champion of women &amp; children, speaks up for refugees.  http://t…",,,en,1443624095786
